Cam,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
242,0,0,0,0,0,0,0,0,0.0,0
241,0,0,0,0,0,0,0,0,0.0,0
200,0,0,0,0,0,0,0,0,0.0,0
201,0,0,0,0,0,0,0,0,0.0,7
202,0,0,0,0,0,0,0,0,0.0,1
203,0,0,0,0,0,0,0,0,0.0,0
204,0,0,0,0,0,0,0,0,0.0,0
205,0,0,0,0,0,0,0,0,0.0,0
206,0,0,0,0,0,0,0,0,0.0,1
207,0,0,0,0,0,0,0,0,0.0,2
208,0,0,0,0,0,0,0,0,0.0,2
209,0,0,0,0,0,0,0,0,0.0,0
210,0,0,0,0,0,0,0,0,0.0,2
